feature,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,avg_monthly_spend,charges_delta,total_to_monthly_ratio,num_services,num_protection_services,has_protection_bundle,is_zero_tenure,has_internet_service,fiber_without_security,electronic_check_month_to_month,month_to_month_low_tenure,senior_month_to_month,streaming_bundle,ChurnBinary
SeniorCitizen,1.0,0.0166,0.2202,0.103,0.2176,0.0177,0.0162,0.0959,0.0116,-0.0235,-0.0174,0.1827,0.2295,0.1865,-0.0045,0.8177,0.0961,0.1509
tenure,0.0166,1.0,0.2479,0.8262,0.2462,-0.0018,0.9989,0.5236,0.4956,0.317,-0.0521,0.0391,-0.1426,-0.35,-0.7139,-0.1347,0.3127,-0.3522
MonthlyCharges,0.2202,0.2479,1.0,0.6512,0.9962,0.0052,0.2475,0.8023,0.5649,0.2325,-0.0307,0.7636,0.5448,0.2029,-0.1367,0.1688,0.5835,0.1934
TotalCharges,0.103,0.8262,0.6512,1.0,0.6509,-0.0231,0.8265,0.7959,0.6778,0.3995,-0.0398,0.3752,0.0876,-0.2129,-0.5554,-0.0498,0.5378,-0.1983
avg_monthly_spend,0.2176,0.2462,0.9962,0.6509,1.0,-0.0815,0.2482,0.8004,0.5639,0.2322,,0.7598,0.5419,0.2013,-0.136,0.166,0.5819,0.192
charges_delta,0.0177,-0.0018,0.0052,-0.0231,-0.0815,1.0,-0.0289,-0.008,-0.0096,-0.0021,,0.0105,0.0107,0.005,-0.0137,0.0225,-0.005,0.0022
total_to_monthly_ratio,0.0162,0.9989,0.2475,0.8265,0.2482,-0.0289,1.0,0.5233,0.4952,0.3168,-0.0521,0.0385,-0.1424,-0.35,-0.7126,-0.135,0.3127,-0.352
num_services,0.0959,0.5236,0.8023,0.7959,0.8004,-0.008,0.5233,1.0,0.8547,0.4742,-0.0052,0.5455,0.0996,-0.0813,-0.3691,-0.0106,0.6663,-0.0673
num_protection_services,0.0116,0.4956,0.5649,0.6778,0.5639,-0.0096,0.4952,0.8547,1.0,0.5682,0.0058,0.5173,-0.1486,-0.1859,-0.3509,-0.0923,0.386,-0.1731
has_protection_bundle,-0.0235,0.317,0.2325,0.3995,0.2322,-0.0021,0.3168,0.4742,0.5682,1.0,0.0038,0.1406,-0.1836,-0.1467,-0.1617,-0.0873,0.1968,-0.1285
is_zero_tenure,-0.0174,-0.0521,-0.0307,-0.0398,,,-0.0521,-0.0052,0.0058,0.0038,1.0,-0.0316,-0.0272,-0.0236,-0.0249,-0.0142,-0.0163,-0.0238
has_internet_service,0.1827,0.0391,0.7636,0.3752,0.7598,0.0105,0.0385,0.5455,0.5173,0.1406,-0.0316,1.0,0.3612,0.2599,0.0337,0.1762,0.3243,0.2279
fiber_without_security,0.2295,-0.1426,0.5448,0.0876,0.5419,0.0107,-0.1424,0.0996,-0.1486,-0.1836,-0.0272,0.3612,1.0,0.37,0.1303,0.2698,0.178,0.3549
electronic_check_month_to_month,0.1865,-0.35,0.2029,-0.2129,0.2013,0.005,-0.35,-0.0813,-0.1859,-0.1467,-0.0236,0.2599,0.37,1.0,0.3081,0.3049,0.0119,0.3676
month_to_month_low_tenure,-0.0045,-0.7139,-0.1367,-0.5554,-0.136,-0.0137,-0.7126,-0.3691,-0.3509,-0.1617,-0.0249,0.0337,0.1303,0.3081,1.0,0.0886,-0.2132,0.3532
senior_month_to_month,0.8177,-0.1347,0.1688,-0.0498,0.166,0.0225,-0.135,-0.0106,-0.0923,-0.0873,-0.0142,0.1762,0.2698,0.3049,0.0886,1.0,0.0277,0.229
streaming_bundle,0.0961,0.3127,0.5835,0.5378,0.5819,-0.005,0.3127,0.6663,0.386,0.1968,-0.0163,0.3243,0.178,0.0119,-0.2132,0.0277,1.0,0.0404
ChurnBinary,0.1509,-0.3522,0.1934,-0.1983,0.192,0.0022,-0.352,-0.0673,-0.1731,-0.1285,-0.0238,0.2279,0.3549,0.3676,0.3532,0.229,0.0404,1.0
